ds,yhat,yhat_lower,yhat_upper,consumer_id
2022-01-06,478.0865062179306,-38215.66486984918,35953.64294704847,-9222139347969440576
2022-01-08,3709.470013539414,-33356.578740438345,43929.821265915576,-9222139347969440576
2022-01-09,7331.574293522905,-31769.665159505475,50182.09832118316,-9222139347969440576
2022-01-10,9982.054031855534,-29540.850319698267,51714.63793049503,-9222139347969440576
2022-01-11,9196.659670007739,-31018.15242658044,46271.03108015216,-9222139347969440576
2022-01-12,16623.46034391625,-23304.47161203841,58986.38323191357,-9222139347969440576
2022-01-14,18641.988242954965,-20676.459795546743,57790.15439869828,-9222139347969440576
2022-01-15,15034.948730127115,-27868.132409237227,55157.835593911375,-9222139347969440576
2022-01-16,18580.914448636595,-20461.986728616885,55953.148841130256,-9222139347969440576
2022-01-17,20971.570705356335,-17484.826322520526,58412.47920490701,-9222139347969440576
2022-01-18,19836.393315106834,-19600.85428447067,58432.28520615981,-9222139347969440576
2022-01-19,26433.32177978514,-13731.70466251942,66207.43283676261,-9222139347969440576
2022-01-21,26723.5164656278,-12715.065865093939,66678.85222079155,-9222139347969440576
2022-01-22,22204.464254356975,-19639.773880029225,62842.24138637697,-9222139347969440576
2022-01-23,24480.715900455984,-16506.573133725393,64886.33635205332,-9222139347969440576
2022-01-24,25564.451484028585,-15113.809047260671,64353.42598624872,-9222139347969440576
2022-01-26,28269.682680652248,-12282.818447231557,64979.07003069316,-9222139347969440576
2022-01-27,21186.30960502222,-19046.6184631354,60853.20435630255,-9222139347969440576
2022-01-29,20480.175769770256,-18210.024573840372,59892.676023353095,-9222139347969440576
2022-01-30,21567.602167034685,-19115.241785708473,58306.80209755456,-9222139347969440576
2022-02-01,18435.744984054716,-21668.832235859987,57298.90807892757,-9222139347969440576
2022-02-02,22549.55551204116,-19072.460689277374,64430.363824903936,-9222139347969440576
2022-02-03,15096.466019322414,-22430.760711317576,57300.504932315394,-9222139347969440576
2022-02-04,19249.690690317937,-22067.049731202173,59271.865039171345,-9222139347969440576
2022-02-06,14367.011348213528,-25172.727977274262,52009.326663602435,-9222139347969440576
2022-02-07,14293.440993572112,-25409.671553362612,54730.552474462645,-9222139347969440576
2022-02-08,11250.60679260418,-28987.185519739316,53629.428952498114,-9222139347969440576
2022-02-09,15311.172855213343,-25683.2565911376,54744.912771132964,-9222139347969440576
2022-02-11,12599.104883683109,-26606.68466547142,52551.600248750896,-9222139347969440576
2022-02-12,7450.659654958443,-31674.937189823922,47955.23409182276,-9222139347969440576
2022-02-14,8912.854078978236,-32369.332684220673,48406.16556430227,-9222139347969440576
2022-02-16,10681.747914724885,-25328.245701612417,49523.64443463927,-9222139347969440576
2022-02-17,4373.618378837285,-36302.91108560315,43631.64990948905,-9222139347969440576
2022-02-18,8810.894586659433,-32851.21981839117,48735.367653240566,-9222139347969440576
2022-02-19,4193.111899320595,-37683.622781331345,44875.40450956737,-9222139347969440576
2022-02-20,5571.2697318103155,-35343.57719604181,43227.38522600683,-9222139347969440576
2022-02-21,6113.468467362844,-32681.51545633762,45775.48480417274,-9222139347969440576
2022-02-23,8151.6291885246865,-31969.372359432804,48832.37855769842,-9222139347969440576
2022-02-24,2219.636335278611,-37752.35229377569,41869.734794055265,-9222139347969440576
2022-02-25,6542.578695941207,-31864.975866470937,44639.49864697803,-9222139347969440576
2022-02-26,2165.6195447044634,-37620.584631844926,44145.79133760423,-9222139347969440576
2022-02-28,4027.353512759624,-38086.73058305249,45498.50318901124,-9222139347969440576
2022-03-02,5964.984659344821,-34017.258673590906,45161.28876620231,-9222139347969440576
2022-03-03,294.7078766606011,-39089.25536405226,39501.682113508265,-9222139347969440576
2022-03-05,289.0805575579336,-37479.87951492802,41331.24356312696,-9222139347969440576
2022-03-06,1622.6083591555484,-39549.02951804917,42855.5567441692,-9222139347969440576
2022-03-07,2201.0931847392976,-37868.56206901343,42786.56209255509,-9222139347969440576
2022-03-08,273.2439862018251,-43296.143445565256,40728.47290314882,-9222139347969440576
